Dates,Occupancy
01-12-2022,6
02-12-2022,14
03-12-2022,16
04-12-2022,12
05-12-2022,11
06-12-2022,6
07-12-2022,8
08-12-2022,16
09-12-2022,33
10-12-2022,26
11-12-2022,14
12-12-2022,9
13-12-2022,6
14-12-2022,20
15-12-2022,20
16-12-2022,23
17-12-2022,36
18-12-2022,25
19-12-2022,34
20-12-2022,29
21-12-2022,33
22-12-2022,33
23-12-2022,31
24-12-2022,46
25-12-2022,53
26-12-2022,60
27-12-2022,66
28-12-2022,76
29-12-2022,71
30-12-2022,66
31-12-2022,75
01-01-2023,53
02-01-2023,30
03-01-2023,30
04-01-2023,24
05-01-2023,24
06-01-2023,36
07-01-2023,39
08-01-2023,19
09-01-2023,16
10-01-2023,16
11-01-2023,12
12-01-2023,5
13-01-2023,4
14-01-2023,21
15-01-2023,31
16-01-2023,36
17-01-2023,24
18-01-2023,23
19-01-2023,10
20-01-2023,10
